object_id,annotation_type,annotation_text,annotation_uri,fragment
218010001634,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001643,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001645,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001648,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001649,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001650,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001651,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001653,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001654,Page type,Tekst op pagina,http://purl.org/vocab/nl/ubvu/TextPage,null
218010001657,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001659,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001661,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001662,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001664,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001672,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001674,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001678,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001683,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001684,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001686,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001687,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001688,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001690,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001692,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001694,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001696,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001700,Page type,Geïllustreerde pagina,http://purl.org/vocab/nl/ubvu/IllustratedPage,null
218010001703,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001711,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001712,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001718,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001721,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001723,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001730,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001732,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001735,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001738,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001746,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001750,Page type,Geïllustreerde pagina,http://purl.org/vocab/nl/ubvu/IllustratedPage,null
218010001752,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001756,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001758,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001761,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001762,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001763,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001767,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001776,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001777,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001778,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001779,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001781,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001784,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001787,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001789,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001790,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001796,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001801,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001802,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001810,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001811,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001812,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001814,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001816,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001818,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001820,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001823,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001828,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001830,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001834,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001836,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001837,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001838,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001840,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001848,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001855,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001857,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001860,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001862,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001863,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001864,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001871,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001873,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001874,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001879,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001880,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001881,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001884,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001885,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001886,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001887,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001894,Page type,Tekst op pagina,http://purl.org/vocab/nl/ubvu/TextPage,null
218010001895,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001897,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001898,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001899,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001901,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001903,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001904,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001905,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001909,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001911,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001912,Page type,Tekst op pagina,http://purl.org/vocab/nl/ubvu/TextPage,null
218010001913,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001924,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001925,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001930,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001934,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001935,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001937,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001942,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001945,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001947,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001953,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001957,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001958,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001961,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001962,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001963,Page type,Pagina,http://purl.org/vocab/nl/ubvu/Page,null
218010001964,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010002004,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002005,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002012,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002014,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002015,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002016,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002017,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002018,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002022,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002023,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002025,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002028,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002033,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002035,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002037,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002039,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002040,Page type,Meerdere illustraties op pagina,http://purl.org/vocab/nl/ubvu/MultipleIllustrationsPage,null
218010002041,Page type,Geïllustreerde pagina,http://purl.org/vocab/nl/ubvu/IllustratedPage,null
